trip_id,start_time,start_date,schedule_relationship,route_id,latitude,longitude,bearing,speed,timestamp,congestion_level
644986,23:28:00,20190601,0.0,2440_B1,-33.78620529174805,151.26673889160156,193.0,0.0,1559397209.0,0.0
601153,23:27:00,20190601,0.0,2440_B1,-33.76664733886719,151.26907348632812,34.0,9.800000190734863,1559397210.0,1.0
644987,23:43:00,20190601,0.0,2440_B1,-33.71304702758789,151.29733276367188,177.0,8.5,1559397213.0,0.0
947538,23:12:00,20190601,0.0,2440_B1,-33.70822525024414,151.29637145996094,17.0,15.0,1559397201.0,1.0
644985,23:13:00,20190601,0.0,2440_B1,-33.839969635009766,151.2108917236328,184.0,17.700000762939453,1559397212.0,0.0
601154,23:42:00,20190601,0.0,2440_B1,-33.824363708496094,151.235595703125,79.0,17.5,1559397213.0,1.0
947540,23:35:00,20190601,0.0,2440_B1,-33.80991744995117,151.2450714111328,35.0,8.199999809265137,1559397203.0,1.0
947541,23:50:00,20190601,0.0,2440_B1,-33.852928161621094,151.210205078125,28.0,18.5,1559397202.0,1.0
601151,23:07:00,20190601,0.0,2440_B1,-33.68830490112305,151.30471801757812,353.0,15.600000381469727,1559397205.0,1.0
947539,23:22:00,20190601,0.0,2440_B1,-33.752593994140625,151.28668212890625,55.0,6.300000190734863,1559397214.0,0.0
601152,23:17:00,20190601,0.0,2440_B1,-33.73033142089844,151.3003692626953,339.0,11.800000190734863,1559397206.0,0.0
644986,23:28:00,20190601,0.0,2440_B1,-33.824462890625,151.23880004882812,271.0,3.299999952316284,1559397800.0,1.0
947534,00:05:00,20190602,0.0,2440_B1,-33.86586380004883,151.2063751220703,8.0,0.0,1559397816.0,0.0
601153,23:27:00,20190601,0.0,2440_B1,-33.73016357421875,151.30030822753906,340.0,14.0,1559397804.0,0.0
644987,23:43:00,20190601,0.0,2440_B1,-33.75380325317383,151.28515625,230.0,13.600000381469727,1559397813.0,1.0
601154,23:42:00,20190601,0.0,2440_B1,-33.785274505615234,151.2669219970703,14.0,8.899999618530273,1559397800.0,0.0
947540,23:35:00,20190601,0.0,2440_B1,-33.76051712036133,151.27783203125,46.0,16.100000381469727,1559397809.0,1.0
947541,23:50:00,20190601,0.0,2440_B1,-33.82371520996094,151.24203491210938,54.0,9.899999618530273,1559397804.0,0.0
947539,23:22:00,20190601,0.0,2440_B1,-33.69915771484375,151.30018615722656,14.0,15.300000190734863,1559397806.0,1.0
601155,23:57:00,20190601,0.0,2440_B1,-33.82950973510742,151.2135467529297,98.0,2.799999952316284,1559397804.0,1.0
947534,00:05:00,20190602,0.0,2440_B1,-33.83087158203125,151.22076416015625,114.0,7.900000095367432,1559398413.0,0.0
644987,23:43:00,20190601,0.0,2440_B1,-33.79584884643555,151.2529754638672,192.0,0.0,1559398406.0,1.0
601154,23:42:00,20190601,0.0,2440_B1,-33.74956512451172,151.28953552246094,25.0,8.300000190734863,1559398412.0,1.0
947540,23:35:00,20190601,0.0,2440_B1,-33.730224609375,151.30030822753906,339.0,15.300000190734863,1559398408.0,1.0
947541,23:50:00,20190601,0.0,2440_B1,-33.76823425292969,151.267822265625,43.0,0.0,1559398400.0,1.0
601136,00:12:00,20190602,0.0,2440_B1,-33.86502456665039,151.20639038085938,306.0,3.5,1559398395.0,1.0
601155,23:57:00,20190601,0.0,2440_B1,-33.805320739746094,151.2462615966797,348.0,15.699999809265137,1559398411.0,1.0
947535,00:20:00,20190602,0.0,2440_B1,-33.85804748535156,151.2069854736328,27.0,16.799999237060547,1559399015.0,1.0
947534,00:05:00,20190602,0.0,2440_B1,-33.798377990722656,151.2520294189453,39.0,12.399999618530273,1559399015.0,1.0
644987,23:43:00,20190601,0.0,2440_B1,-33.830692291259766,151.21986389160156,294.0,5.300000190734863,1559399019.0,0.0
601154,23:42:00,20190601,0.0,2440_B1,-33.706504821777344,151.2969970703125,14.0,18.5,1559399007.0,1.0
947541,23:50:00,20190601,0.0,2440_B1,-33.73320388793945,151.30165100097656,339.0,14.699999809265137,1559399019.0,1.0
601136,00:12:00,20190602,0.0,2440_B1,-33.83092498779297,151.22486877441406,65.0,11.800000190734863,1559399012.0,1.0
601155,23:57:00,20190601,0.0,2440_B1,-33.7610969543457,151.27272033691406,71.0,14.100000381469727,1559399014.0,1.0
601137,00:27:00,20190602,0.0,2440_B1,-33.84130096435547,151.21018981933594,347.0,21.0,1559399617.0,1.0
947535,00:20:00,20190602,0.0,2440_B1,-33.82357406616211,151.24221801757812,52.0,3.700000047683716,1559399618.0,0.0
947534,00:05:00,20190602,0.0,2440_B1,-33.75423812866211,151.2843475341797,38.0,12.699999809265137,1559399610.0,1.0
601136,00:12:00,20190602,0.0,2440_B1,-33.7876091003418,151.26632690429688,17.0,13.699999809265137,1559399609.0,1.0
601155,23:57:00,20190601,0.0,2440_B1,-33.73017501831055,151.30027770996094,340.0,12.399999618530273,1559399606.0,1.0
601137,00:27:00,20190602,0.0,2440_B1,-33.82158279418945,151.24386596679688,7.0,0.20000000298023224,1559400196.0,1.0
947535,00:20:00,20190602,0.0,2440_B1,-33.769264221191406,151.2666778564453,42.0,12.800000190734863,1559400208.0,1.0
947534,00:05:00,20190602,0.0,2440_B1,-33.7042121887207,151.29742431640625,8.0,17.700000762939453,1559400211.0,1.0
601138,00:42:00,20190602,0.0,2440_B1,-33.86574172973633,151.20639038085938,6.0,0.0,1559400215.0,0.0
601136,00:12:00,20190602,0.0,2440_B1,-33.74552536010742,151.29302978515625,65.0,14.0,1559400218.0,1.0
601137,00:27:00,20190602,0.0,2440_B1,-33.76713943481445,151.26869201660156,30.0,0.0,1559400820.0,0.0
947535,00:20:00,20190602,0.0,2440_B1,-33.7324104309082,151.30130004882812,336.0,12.399999618530273,1559400815.0,1.0
601138,00:42:00,20190602,0.0,2440_B1,-33.82461166381836,151.23480224609375,59.0,14.899999618530273,1559400813.0,1.0
601136,00:12:00,20190602,0.0,2440_B1,-33.687721252441406,151.30459594726562,349.0,0.0,1559400815.0,1.0
601137,00:27:00,20190602,0.0,2440_B1,-33.73170471191406,151.30093383789062,339.0,0.0,1559401424.0,1.0
601138,00:42:00,20190602,0.0,2440_B1,-33.77829360961914,151.26718139648438,350.0,17.0,1559401413.0,1.0
601138,00:42:00,20190602,0.0,2440_B1,-33.74074935913086,151.30303955078125,340.0,15.0,1559402010.0,1.0
